T0-CR07-1	SRR13238244
T0-CR07-2	SRR13238245
T0-CR07-3	SRR13238246
T0-CR07-4	SRR13238247
T0-CR08-1	SRR13238248
T0-CR08-2	SRR13238249
T0-CR08-3	SRR13238250
T0-CR08-4	SRR13238251
T0-CR09-1	SRR13238252
T0-CR09-2	SRR13238253
T0-CR09-3	SRR13238254
T0-CR09-4	SRR13238255
T0-CR10-3	SRR13238256
T0-CR10-1	SRR13238257
T0-CR10-2	SRR13238258
T0-CR10-4	SRR13238259
T0-NR03-1	SRR13238260
T0-NR03-2	SRR13238261
T0-NR03-3	SRR13238262
T0-NR03-4	SRR13238263
T0-OT02-1	SRR13238264
T0-OT02-2	SRR13238265
T0-OT02-4	SRR13238266
T0-OT03-1	SRR13238267
T0-OT03-2	SRR13238268
T0-OT03-3	SRR13238269
T0-OT03-4	SRR13238270
T0-OT05-1	SRR13238271
T0-OT05-2	SRR13238272
T0-OT05-3	SRR13238273
T0-OT05-4	SRR13238274
T0-OT06-1	SRR13238275
T0-OT06-2	SRR13238276
T0-OT06-3	SRR13238277
T0-OT06-4	SRR13238278
T0-RE03-1	SRR13238279
T0-RE03-2	SRR13238280
T0-RE03-3	SRR13238281
T0-RE03-4	SRR13238282
T0-RE04-1	SRR13238283
T0-RE04-2	SRR13238284
T0-RE04-3	SRR13238285
T0-RE04-4	SRR13238286
T1-CR07-1	SRR13238287
T1-CR07-2	SRR13238288
T1-CR07-3	SRR13238289
T1-CR07-4	SRR13238290
T1-CR08-1	SRR13238291
T1-CR08-2	SRR13238292
T1-CR08-3	SRR13238293
T1-CR08-4	SRR13238294
T1-CR09-1	SRR13238295
T1-CR09-2	SRR13238296
T1-CR09-3	SRR13238297
T1-CR09-4	SRR13238298
T1-CR10-1	SRR13238299
T1-CR10-2	SRR13238300
T1-CR10-3	SRR13238301
T1-CR10-4	SRR13238302
T1-CR11-2	SRR13238303
T1-CR11-3	SRR13238304
T1-CR11-4	SRR13238305
T1-NR01-1	SRR13238306
T1-NR01-34	SRR13238307
T1-NR02-1	SRR13238308
T1-NR02-2	SRR13238309
T1-NR02-3	SRR13238310
T1-NR02-4	SRR13238311
T1-NR03-3	SRR13238312
T1-NR03-1	SRR13238313
T1-NR03-2	SRR13238314
T1-OT02-3	SRR13238315
T1-OT02-2	SRR13238316
T1-OT02-4	SRR13238317
T1-OT02-1	SRR13238318
T1-OT03-1	SRR13238319
T1-OT03-2	SRR13238320
T1-OT03-4	SRR13238321
T1-OT05-1	SRR13238322
T1-OT06-1	SRR13238323
T1-OT06-2	SRR13238324
T1-RE03-1	SRR13238325
T1-RE03-2	SRR13238326
T1-RE03-3	SRR13238327
T1-RE03-4	SRR13238328
T1-RE04-2	SRR13238329
